"Affiliated entity","Affiliated entity ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who made improvements in function","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay high-risk residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay low-risk residents who lose control of their bowels or bladder","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF","Average percentage of current residents up to date with COVID-19 vaccines","Average percentage of healthcare personnel up to date with COVID-19 vaccines"
"CASSENA CARE",119,14,2,0,0,0,0,100,0,0,2.7,2.9,1.8,4.3,3.3,2.8,0.6,43.1,48.9,0.9,16,1.1,124884.81,8920.34,2,0.1,21.1,10.6,1.1,1.8,83.6,62.3,62.9,1.68,1,11.2,2.3,9.8,0.9,0.9,13,14.7,89.2,86.6,0,53,6.3,26.2,9.5,9.7,41.6,23.5
CASSIA,120,16,4,0,0,0,0,0,100,0,4.4,3.7,4.6,4.5,4.4,3.8,1.1,49.7,40.4,0.5,17,1.1,462383.3,28898.96,2,0.1,20.4,11,1.2,2.3,85.6,89.9,93.1,1.64,0.75,12.1,3.4,5.9,2.3,0.4,11.7,10.5,97.2,96.9,0,56.1,2.2,4.8,11.3,9.7,57.8,10.7
"CASTLE HEALTHCARE",121,7,1,0,0,0,0,100,0,0,2.4,2.3,1,4.9,3.4,3.1,0.4,53.4,56.3,"",35,5,541385.41,77340.77,3,0.4,17.6,16.2,0.4,1.8,99.8,61.5,59.5,1.6,1.37,14.1,3.9,5.8,0.7,0.2,5.9,7.6,92.4,84,0,43.6,5.4,36,23.5,10.8,31.7,6.3
"CATHOLIC CHARITIES NEW HAMPSHIRE",122,6,1,0,0,0,0,0,100,0,3.8,3.5,3.3,4.5,4,3.5,0.7,58.6,53.6,0.3,5,0.8,5862.88,977.15,0,0,18,12.2,0.5,1.9,85.1,81.4,80.4,1.87,1.45,3.1,7.1,3.9,3.6,1.6,17.7,16.3,97.1,92.6,0,49.9,8.4,0.4,13.4,9.6,48.7,24.2
"CCH HEALTHCARE",124,30,3,0,2,5,16.7,100,0,0,1.9,2.1,1.7,3.3,3.5,3,0.6,65.1,63.8,0.7,104,3.5,2567355.36,85578.51,9,0.3,24,14.8,2,4,79.4,60.3,60.8,1.88,1.49,12.2,3.5,10.4,1.8,0.4,15,14.3,89.2,77.3,0,43.6,9.3,16.5,24.7,10.5,17.9,3.5
"CENTENNIAL COLORADO HOLDCO",592,7,1,0,0,1,14.3,100,0,0,2.9,2.6,2.6,4,3.2,2.8,0.6,74,80.9,3.1,12,1.7,160211.35,22887.34,0,0,16.8,13.4,0.2,3.2,79.9,87.3,91.5,1.32,1.68,20.2,2.9,3,2.3,1,8,10.9,99.2,96.9,1.6,32.6,7.1,2.7,16.9,11,29,4.8
"CENTER MANAGEMENT GROUP",619,21,5,0,2,1,4.8,100,0,0,2.6,2.4,2,3.7,3.6,3.1,0.5,50.7,49.2,0.6,47,2.2,870696.07,41461.72,1,0,25.7,12.3,1.7,1.9,81.5,65.2,62.7,2.16,0.95,10.6,2.9,8.6,1.4,0.9,10.5,11.8,91.5,88.1,0,54.9,7.1,14.7,16.9,10.5,36.6,15.5
"CENTERS FOR AGING AND REHABILITATION OF FLORIDA",126,8,1,0,0,0,0,50,50,0,2.3,2.8,1,3.9,0.4,0.3,0.1,"","",1.5,8,1,321792.5,40224.06,0,0,24.1,6.1,2,3.2,74.8,84,93.7,1.78,0.83,21.4,4.1,6.1,1.9,0.9,5.4,13.9,98.2,99.5,0,32.3,6.5,1.2,28.5,10.1,59.4,8.5
"CENTERS HEALTH CARE",127,31,3,0,3,2,6.5,100,0,0,1.7,1.7,1.5,3.5,3.3,2.8,0.5,59.8,50.9,1.1,48,1.5,924036.23,29807.62,3,0.1,21.9,13.1,1.1,2.7,80.5,78.3,80.3,1.72,1.24,13.1,2.9,8.8,1.4,0.4,13.8,15.3,95,92.5,0,53.9,5.5,29.7,14.1,10.2,15.8,2.9
"CENTRACARE HEALTH",128,6,1,0,0,0,0,0,83.3,16.7,4.5,3.8,4.7,4,5.5,4.7,1.6,54.1,43.2,0,19,3.2,147587.8,24597.97,1,0.2,19.8,11.1,1.6,3.9,73.4,82.3,91.8,1.12,1.22,12,5.6,9.5,1.9,2.2,13.6,11.8,98.1,99.2,0,52.8,4.9,4,10.1,9.5,81.5,26.8
"CENTRAL ARKANSAS NURSING CENTERS",129,34,2,0,0,0,0,100,0,0,3.6,3.2,3.3,4.1,4.3,3.6,0.3,54.2,44.1,0.4,29,0.9,153578.41,4517.01,2,0.1,23.2,12.9,1.3,3,76,77.1,85.3,1.81,0.88,7.4,3.8,6.3,1.9,1.1,10.1,9.8,95.9,96.1,0.1,47.6,5,0.8,24.3,10.7,23.2,2.8
"CENTRAL MANAGEMENT COMPANY",130,22,1,0,0,5,22.7,100,0,0,2.5,3.1,2,2,3.6,2.9,0.3,47,34.2,0.8,59,2.7,287629.73,13074.08,1,0,26.5,14.1,3.8,2.9,65.4,84.9,90.4,2.61,1.74,16,3.7,7,3.5,1.4,10.2,19.5,98.5,98,0,32.8,4.1,1.6,27.1,10.7,18.9,4.1
"CENTURY CARE MANAGEMENT",131,7,1,0,0,0,0,100,0,0,4,4.4,2.7,2.3,4.1,3.5,0.4,43.1,44.9,0,7,1,7859.06,1122.72,0,0,24.1,11.2,1.4,3,69,85.2,88.7,2.26,1.21,14.6,3.8,11.5,5.8,1.5,28.4,17.1,96.8,94.9,0.2,59.6,8.7,8,19.9,10.4,26.4,1.5
"CENTURY HEALTHCARE",638,8,1,0,1,0,0,100,0,0,1.4,1.5,1.1,3.5,3.4,3.1,0.5,62.8,64.7,0.9,13,1.6,401014.85,50126.86,2,0.3,21.5,11.5,2.4,3.5,71.1,77.1,72.3,1.24,0.97,15.9,2.5,7.3,0.7,1.2,16.4,12.5,97.3,91.5,0,54.3,7,0.4,15.5,9.7,34.2,0.7
"CERTUS HEALTHCARE",132,16,1,1,4,4,25,100,0,0,1.9,1.9,1.5,4.1,3.3,2.9,0.5,62.6,57.9,0.8,40,2.5,880774.95,55048.43,8,0.5,26.2,15.5,2.1,1.7,82.2,60.5,68.6,2.08,1.42,9.9,2.4,7.7,0.4,0.2,5.5,9.2,88.6,84.3,0,37.8,6.5,27.9,21.2,10.6,20.7,12.3
"CHAMBERS COUNTY PUBLIC HOSPITAL DISTRICT NO. 1",133,6,1,0,0,0,0,50,0,50,2.5,3,1.8,2.8,3.7,3.3,0.4,59.2,"",0.5,20,3.3,60508.44,10084.74,0,0,27.6,13.2,0.9,1.9,70.8,78.1,89.5,2.53,1.36,10.6,3.7,9.8,3.5,1.7,18.2,16.1,98.2,99.7,0,61.2,8.1,2.3,24.1,11,46.8,6.4
"CHAMPION CARE",134,14,4,0,4,1,7.1,85.7,14.3,0,1.8,1.8,2.1,3.6,3.4,3,0.5,62.9,55.4,0.8,60,4.3,1766586,126184.71,12,0.9,23.6,14.7,1.1,3.6,82.4,61.6,61.3,1.9,1.44,15,2.1,9,1.8,0.9,13.1,11.9,86.4,82.8,0.1,43.3,6.4,16.9,18.3,10.6,31.9,9.8
"CHANCELLOR HEALTHCARE",135,2,2,0,0,0,0,100,0,0,3,3,3,3.5,3.8,3.4,0.4,54,25,0,5,2.5,6541.13,3270.57,0,0,15.1,21.6,0,2.2,63.9,60.9,88.3,2.02,1.57,6.5,2.5,9.7,0.2,2.5,12.1,11.9,96.6,93.3,0,15.8,7.1,0,12,8.8,29.5,1.2
"CHARIS TRUST DTD 12/22/16",136,12,1,0,0,1,8.3,100,0,0,3.1,2.3,3.4,4.7,4.1,3.7,0.4,36.7,48.2,0.8,23,1.9,283702.15,23641.85,1,0.1,25.3,9.9,0.7,0.6,76.6,98.5,98.4,1.72,0.83,6.9,1.7,5.8,0.3,1.6,7.6,3.9,99.9,99.9,0.1,26.5,4.3,3.2,12.6,10.6,18.3,3.7
"CHARLESTON HEALTHCARE GROUP",137,5,2,0,0,0,0,80,0,20,2.8,3.2,1.6,3.4,2.8,2.5,0.4,50.5,46.6,0.4,8,1.6,120315.08,24063.02,2,0.4,24.3,21.7,6.1,2,77.1,84.7,88.4,2.36,1.76,8,2.7,4.7,0.5,1.4,15,20.4,99.7,98.6,0,50.2,6.1,1.2,28.3,10,18.6,13
"CHELSEA JEWISH LIFECARE",138,5,1,0,0,0,0,0,100,0,4.4,3.6,3.8,4.8,4.7,4.3,0.7,37.1,33,1,6,1.2,39698.94,7939.79,1,0.2,22.7,8,0.5,1.7,88.6,93,98.2,1.77,0.59,16.4,5.6,6.9,0.6,0.4,11.3,7.2,99.3,96.7,0,55.3,5.7,1.6,17.5,10.1,37.9,3.6
"CHEYENNE SHERIDAN OPCO HOLDINGS",625,3,2,1,0,1,33.3,100,0,0,2.5,3,1.5,4,3.3,2.9,0.6,44.4,36.4,1,8,2.7,116103,38701,1,0.3,18.3,15.6,2.2,1.1,87.4,68.7,71.6,1.19,1.5,20.9,4.4,4.2,2.3,0.6,8.8,13.1,96.5,93.1,0,49.4,5.6,22.9,8.9,10.9,19.6,14.3
"CHI LIVING COMMUNITIES",139,8,5,0,0,0,0,12.5,87.5,0,2.6,2.8,1.9,3.8,4.5,4,1,50,50,0.7,10,1.3,104629.79,13078.72,1,0.1,20,15,1.6,2.7,84.2,81.9,81.9,1.65,1.61,13.7,5.2,7.9,2.4,1.4,13.7,12.4,92.9,97,1,43.9,5.6,16.1,25.3,10.5,47.7,1.7
"CHOICE HEALTH MANAGEMENT",140,15,2,0,2,3,20,100,0,0,1.4,1.7,1.3,2.1,3.3,2.9,0.3,57.9,56.1,0.7,40,2.7,1431882.42,95458.83,7,0.5,24.5,14.7,2.1,2.4,63.9,66.2,71.9,2.36,1.39,12.9,3.7,10,1.5,0.4,32.2,25.7,87.2,87.1,0,50.9,8.8,3.7,19.9,10.6,25,8.8
"CHOICE HEALTHCARE",588,6,1,0,1,0,0,100,0,0,1.8,2.2,1.2,2.5,3.1,2.7,0.4,70.6,63.8,0.8,17,2.8,336431.59,56071.93,1,0.2,23.8,14.9,2.2,3,77.2,35.8,22.3,1.92,1.23,13.3,4.2,10.4,3.2,0.8,19.9,22,89.1,52.4,0,45.7,7.1,10.6,27.9,10.3,49.7,21.8
"CHOSEN HEALTHCARE",141,11,2,0,2,4,36.4,72.7,9.1,18.2,1.6,1.7,1.7,2.6,3.3,2.8,0.4,45,50,0.4,21,1.9,719193.42,65381.22,9,0.8,24.8,9.6,4,6.7,59.2,48.6,65.2,1.99,1.24,17.9,4.5,10.1,2.8,1.9,19.6,18.7,97.6,84.2,0,48.1,6.3,8.9,31.5,10.5,32,3.4
"CHRISTIAN CARE COMMUNITIES",142,5,1,0,0,0,0,0,100,0,3.8,3.6,3.6,3.4,4.4,3.8,0.9,63.9,47.6,0.2,8,1.6,9455.13,1891.03,0,0,18.3,20.5,0.6,5.5,80.4,81.2,79.1,1.55,1.53,13.5,6.3,6.3,3.8,1.1,16.6,15.9,91.5,88.6,0,46.1,9.2,2.2,30.4,11.2,32,5.8
"CHRISTIAN HORIZONS",143,6,3,0,0,1,16.7,0,100,0,3.3,3,3.8,3.3,4,3.6,0.8,49,30.3,0.2,10,1.7,318310.5,53051.75,4,0.7,20.2,14.7,1.7,5.8,70.9,89,89.1,1.58,1.02,16,4.7,9.1,2.5,1.8,16.3,12.3,98.8,94.7,0.1,65.4,9.3,1.3,17.6,9.9,17.1,3.9
"CIENA HEALTHCARE/LAUREL HEALTH CARE",144,79,5,0,1,7,8.9,100,0,0,2.6,2.5,2.7,3.6,3.5,3,0.6,51.2,46.9,0.6,136,1.7,5013223.03,63458.52,43,0.5,23,12.4,1.5,3.7,77.2,71.1,78.6,1.79,1.05,13.9,3.2,9.8,1.5,1,15,14.7,90.1,91.9,0.1,49.4,7.3,5,21,10.7,23.2,2.6
"CIRCLE B ENTERPRISES",145,29,2,0,1,3,10.3,100,0,0,2.2,2.9,2,2.5,3.1,2.7,0.4,64.5,57.9,0.7,18,0.6,267776.86,9233.68,3,0.1,24.3,15.7,1.9,3.6,73.9,60.8,73.5,2.04,1.49,22.6,3.3,10,2.1,1.9,17.4,19.6,93.5,93.7,0.2,32,4.7,10.1,26.4,11,10.2,3.3
"CITADEL CARE CENTERS",146,14,2,0,0,0,0,100,0,0,2.2,2.1,2,4.1,3.3,3.1,0.5,54.9,59.7,1.4,44,3.1,375887.18,26849.08,0,0,23.7,11.4,1.6,2.9,85,70.3,67.7,1.9,0.69,7.7,1.8,10.8,0.8,0.7,12.4,11.4,95.5,83.8,0,55.1,8.1,8.2,14,11,48.5,8.4
"CITADEL HEALTHCARE",147,11,1,0,0,1,9.1,100,0,0,3.2,3.2,2.1,3.7,3,2.6,0.6,43.8,37.2,0.5,34,3.1,572163.39,52014.85,5,0.5,24.6,13.8,1.8,1.8,77.1,81,78.6,2.02,1.34,21.2,2.5,6.4,0,0.7,11.6,9.3,95.8,94,0,40.1,9.1,73.5,17.6,9.8,50.3,16
"CITIZENS MEMORIAL HEALTH CARE",148,6,1,0,0,0,0,0,100,0,3.8,3.8,2.7,3,3.3,2.9,0.5,60.5,58.8,0.3,3,0.5,30483.64,5080.61,0,0,20,13.7,1.2,1.5,73.8,91.1,96.6,2.15,1.78,14.4,5.2,6.2,4.3,0.4,15.6,17.7,99.7,99.7,0.2,33.7,2.6,4.1,19.6,10.3,26.6,7.3
"CLEAR CHOICE HEALTHCARE",149,9,2,0,0,0,0,100,0,0,4.1,3.8,3.6,4.1,4,3.6,0.6,57.4,52,0.9,10,1.1,37962.38,4218.04,0,0,27.2,11.3,1.8,1.2,87.9,95.5,98.4,2.09,0.77,8.2,3,7.3,1.4,1.2,9.7,9.8,98.8,99.7,0,56.3,5.6,1.1,23.7,11.8,62.9,16.6
"COMMCARE CORPORATION",150,14,1,0,0,1,7.1,14.3,85.7,0,2.5,2.6,2.1,2.6,4,3.2,0.3,65.8,64.3,1.3,24,1.7,626971.19,44783.66,3,0.2,29.1,14.5,2.3,3.3,84,89.9,96.1,2.61,1.55,10.8,3.8,10.4,2.1,0.7,15.4,14.9,97.7,97.8,0,37.7,4.5,0.6,22,11.1,22.2,1.5
"COMMONSPIRIT HEALTH",151,5,5,0,0,0,0,0,100,0,2.8,2.4,3.4,3.6,4.5,4,0.9,55.1,61.7,0.7,23,4.6,81026.74,16205.35,2,0.4,24,10.1,1.4,3.5,75.8,57.8,63.5,2.15,1.73,12.2,4.8,6.1,1.7,2,13.7,14.7,94,87.1,0,42.4,7.8,7.7,16.4,9.9,52.4,23.1
"COMMONWEALTH CARE OF ROANOKE",152,12,1,0,0,1,8.3,100,0,0,3.5,3.4,2.2,3.6,3.4,3,0.5,46.5,52.4,0.8,7,0.6,193544.3,16128.69,0,0,23,13.2,1.4,1.5,75.4,89.9,91.6,1.63,1.08,12.4,3.6,7.5,2.4,1.1,21.2,16.7,98.4,97.3,0,58.6,7.6,3.8,20.3,10.8,35.5,0.6
"COMMUNICARE HEALTH",153,103,7,2,9,24,23.3,94.2,3.9,1.9,1.8,1.9,1.4,3.7,3.3,2.9,0.5,58.6,58.2,1,241,2.3,6557001.31,63660.21,40,0.4,24.3,13.9,1.3,2.6,83.6,63.4,62.8,1.66,1.26,10.4,3.1,7.8,1.1,0.3,13.6,16.6,90.4,84.4,0,51,7.3,27.8,22,10.5,14.8,1.4
"COMMUNITY CARE CENTERS",154,13,2,0,1,1,7.7,100,0,0,2.2,2.7,1.4,2.9,2.9,2.5,0.3,61.2,61.9,4.3,55,4.2,624575.23,48044.25,6,0.5,21.2,11.5,2.7,2.8,53.7,63.3,80.4,1.94,1.89,18.2,4.6,8.2,2.2,1.7,14.3,14.5,91.6,91.3,0.3,24.2,4.5,10.4,24.1,11.1,16.2,12
"COMMUNITY ELDERCARE SERVICES",155,18,2,2,2,2,11.1,100,0,0,1.7,1.9,2.4,1.6,3.5,3,0.5,53.3,58.4,1,31,1.7,1341754.57,74541.92,6,0.3,29.8,18.6,2.1,2.4,62.7,63.1,76.9,1.99,1.73,27.7,3.1,9.9,2.2,2,20.5,20.7,88.3,91.1,0,47.6,5.7,2.2,28.3,12.7,22.9,18
"COMPASS HEALTH, INC.",156,6,1,0,0,0,0,100,0,0,5,4.8,4.2,5,5.2,4.7,0.6,38.9,44.7,0.7,2,0.3,1307.8,217.97,0,0,19.2,15.2,1.1,0.2,87.5,100,100,1.48,0.94,20.9,2.7,1.2,0.1,0.7,7.9,1.6,100,100,0,4,5.4,0.4,27.5,9.1,56.6,44
"COMPLETE CARE",157,72,7,0,1,4,5.6,93.1,6.9,0,2.8,2.4,2.8,4.2,3.6,3.1,0.7,51.6,49,0.6,107,1.5,2597094.97,36070.76,8,0.1,22.8,10.3,1.1,2.7,84.6,73.9,75,1.87,0.91,9.6,2.7,8.8,1.1,0.8,13.2,11.9,95.3,91,0,48.4,7.3,11.8,16.6,10.9,34.6,9.9
"CONCORDIA LUTHERAN MINISTRIES",573,7,3,0,0,1,14.3,0,100,0,2.7,2.4,2.7,3.9,3.9,3.5,0.7,55.3,60.6,0.4,16,2.3,160084.89,22869.27,1,0.1,26.9,9.8,1.3,2.3,69.8,77.9,84.1,1.71,0.83,11.4,2.8,13.6,2.3,4.2,18.2,17.8,88.7,85.6,0,69.3,9.2,6.2,15.7,11.2,27.5,0.6
"CONSULATE HEALTH CARE/INDEPENDENCE LIVING CENTERS/NSPIRE HEALTHCARE/RAYDIANT HEALTH CARE",158,68,6,1,3,9,13.2,100,0,0,1.9,2.1,1.9,3.1,3.2,2.8,0.5,54,55.9,1.3,184,2.7,3622084.87,53265.95,10,0.1,22.6,13.2,1.6,3.6,73.4,78.3,76.6,1.96,1.2,13.6,3.4,9.6,1.3,1.2,20,17.5,93.5,88.6,0,43.8,6.7,2.3,22.2,10.6,32.2,12
"CONTINUING HEALTHCARE SOLUTIONS",159,13,1,0,2,1,7.7,100,0,0,2.2,2.4,1.6,3.8,3.1,2.8,0.5,50.4,45.6,1.2,26,2,397184.58,30552.66,4,0.3,24.4,14.9,2.4,2.9,69.6,63.5,70,1.39,1.73,14.3,4.8,6.7,0.3,0.4,8.2,9.7,85.1,85.2,0,39.5,9.4,29.6,31.2,10.2,18.6,2.2
"CONTINUING LIFE",160,6,1,0,0,0,0,100,0,0,5,4.2,4.6,5,5.2,4.7,0.8,36.1,46.4,0,3,0.5,3926.9,654.48,0,0,18.4,8.8,1.3,1.5,85.2,95.2,96.8,1.19,0.57,9.9,4,6.2,1.5,0.8,11.7,9.3,99.4,100,0,69.9,2.9,1.2,12.5,9.2,52.9,7.9
"CONTINUUM HEALTHCARE",161,6,2,0,0,0,0,100,0,0,3.2,2.7,2.5,4.2,3.6,3.2,0.5,46.3,33.4,0.8,14,2.3,75467.03,12577.84,0,0,21.7,8.2,3,1.8,84.5,58.5,73.7,1.49,0.79,14.8,3.2,6.9,0.6,0.6,10.4,11.6,96.2,96.2,0,44.7,5.5,10.6,23.2,10.5,54.3,23.7
"CORNERSTONE GROUP HOLDINGS",162,7,1,1,1,2,28.6,100,0,0,1,1.2,1.2,2.2,2.8,2.4,0.5,"","","",11,1.6,433914.23,61987.75,5,0.7,19.5,13.6,7.6,1.7,77.1,74.1,76.3,2.4,1.49,29.4,2.7,9.1,3.1,1.4,21.3,23.8,96.9,96.7,0,29.7,5.7,5.4,25,10.1,20.3,17.1
"CORYELL COUNTY MEMORIAL HOSPITAL AUTHORITY",163,11,1,1,0,1,9.1,72.7,9.1,18.2,1.9,2.1,1.7,3.1,3.4,3.1,0.3,50.6,47.6,1.3,40,3.6,881425.25,80129.57,5,0.5,24.7,11,3.1,3.2,63.4,84,91.2,1.93,1.38,10.8,3.3,6.1,0.8,1,14,16.3,98.2,97.7,0,43.6,4.7,4,25.7,10.7,17.1,4.2
"COUNTRY CLUB REHABILITATION CAMPUS",164,6,1,0,0,0,0,100,0,0,3.2,2.8,1.8,4,3.1,2.8,0.6,54.2,33.7,0.7,7,1.2,226446.55,37741.09,2,0.3,26.4,13.9,0.8,5.9,83.9,75.6,76.4,1.69,1.82,10.7,5.7,11.3,0.4,0.1,3.9,7.6,95.4,95.3,0,60.1,3.4,13.8,20.7,11.9,44.9,9.9
"COUNTRY VILLA HEALTH SERVICES",165,9,1,0,1,2,22.2,100,0,0,2.3,2,3.3,3.8,3.9,3.6,0.4,41.9,50.7,0.3,49,5.4,293971.97,32663.55,3,0.3,26,11.9,2.4,2.2,79.9,94.6,96.9,2.3,0.81,20.9,1,5.5,1.2,0.8,9.8,7.9,98.9,99.5,0,23.8,4.7,15.4,16.4,11.1,26.7,3.7
"COVENANT CARE",166,25,2,0,0,2,8,100,0,0,3.3,2.6,3.2,4.7,3.9,3.5,0.6,49.1,54,1.3,46,1.8,443251.8,17730.07,1,0,25.3,14.5,1,1,90.2,96.8,98.2,1.75,1.08,9.4,1.6,6,0.4,0.5,7.7,5.4,98.4,99.7,0,41.1,4.7,3,11.6,10.7,35.2,7.3
"COVENANT HEALTH",167,8,4,0,0,0,0,0,100,0,3.4,3.4,3.8,3.1,4.3,3.8,1.4,47.2,47.9,1.3,31,3.9,627163.74,78395.47,3,0.4,22.7,13.9,2,2.9,71.9,71.2,64.2,1.56,1.18,17.9,2.1,6.7,1.8,1.6,22.7,15.8,95.6,81.6,0,62,6.4,2.4,20.1,10.1,22,5.3
"COVENANT LIVING",168,15,10,0,0,0,0,0,100,0,3.9,3.6,3.8,3.9,4.1,3.7,0.8,48.1,53.1,0.6,21,1.4,412737.48,27515.83,0,0,24.7,13.2,1.3,2.2,76.7,88.9,92.2,1.69,0.91,12.2,3.5,8.1,5.1,1.3,17.1,12.5,96.8,96.3,0,67.2,6.3,3.1,16.3,10.4,43.1,14.1
"CREATIVE SOLUTIONS IN HEALTHCARE",169,110,1,0,2,7,6.4,80.9,0.9,18.2,2.4,2.8,1.2,3.6,2.9,2.5,0.4,55.9,60.1,0.8,208,1.9,4777034.01,43427.58,18,0.2,25.5,15,1.8,3,68.8,81.3,89.3,2.16,1.4,9.4,3.9,6.3,0.7,0.7,5.7,15.4,97.6,98.4,0,50.8,4.6,6.9,23.8,10.7,1.4,0
"CREST HEALTHCARE CONSULTING",170,13,1,0,0,2,15.4,100,0,0,2.4,2.8,1.5,3.1,3.1,2.6,0.5,57.9,56.1,0.8,37,2.8,762499.18,58653.78,5,0.4,26.6,20,2.3,3.4,85.1,60.7,54.1,2.04,2.23,14.8,3.3,6.9,1,0.8,8.4,8.1,91.2,71.7,0,44.4,8,61.8,21.2,10.9,20.7,0.2
"CROSSROADS CARE CENTER",171,13,2,0,0,0,0,100,0,0,2.1,2,2,3.2,3.3,2.8,0.6,54.8,44.2,0,56,4.3,1542201.84,118630.91,8,0.6,24.2,15.8,2.1,3.1,73.7,61.9,74.7,1.78,1.65,16.5,2.3,11.5,2,1.1,14.3,9.2,87.8,89.3,0.2,36.6,6.7,18.4,16.2,10.4,30.3,9.6
"CROSSROADS MEDICAL MANAGEMENT",172,6,1,0,0,0,0,100,0,0,3.2,3,4,2.3,4.2,3.5,0.6,50.2,38.5,0,8,1.3,26522.06,4420.34,0,0,26.5,15.6,1.5,3.5,82.4,90.9,96.9,2.22,1.63,14.1,5.6,8.7,4.3,1.1,16.1,20.3,99.6,99.8,0,41.3,6.3,3.1,27.2,11.2,45.8,1.3
"CROWN HEALTHCARE GROUP",173,9,1,0,0,0,0,100,0,0,2.2,2.4,1.2,4.2,3,2.7,0.3,53,46.5,0.9,29,3.2,609800.23,67755.58,2,0.2,25.8,13.5,2.2,2.9,90.4,62.6,66.9,1.65,1.16,16.8,2.9,9.3,0.2,0.6,6.2,6.7,86.5,81.1,0,44.8,9.9,45.8,22.7,10.8,34.8,0.2
"CROWNE HEALTH CARE",174,18,1,0,0,0,0,94.4,5.6,0,4,3.8,4.2,2.8,4.3,3.5,0.6,44.3,36.6,0.3,6,0.3,34462.86,1914.6,0,0,24.3,16.9,2,3.7,71,79.4,82,1.65,1.25,20.2,3.2,7.8,4.2,2.2,14,11.2,96.2,94.6,0.2,54.6,5.7,0.9,20.5,10,25.4,1.8
"CYPRESS HEALTHCARE GROUP",175,6,1,0,0,0,0,100,0,0,4,3.8,3.2,4.3,4.2,3.7,0.4,50.4,46.4,"",7,1.2,21936.4,3656.07,0,0,25.4,15.7,0.9,0.7,81.7,95.7,99,2.33,0.78,8.1,1.5,5.4,0.6,1.7,17.4,9.3,97.8,99.3,0,55.3,5.3,0.6,5.1,10.1,32.4,10.4
"CYPRESS HEALTHCARE LA",642,4,4,0,0,0,0,100,0,0,2.5,2.8,1.8,3.8,3.3,2.9,0.6,61.4,38.5,1,12,3,31246.35,7811.59,1,0.3,18,7.8,5,2.5,68.7,61.1,54.8,1.29,0.53,20.4,2.6,6.2,2.5,1.7,17,16.5,95.5,86,0,46.3,7.4,12.8,18.8,10.1,0.9,0
"CYPRESS SKILLED NURSING",176,9,1,0,1,3,33.3,100,0,0,1.7,1.9,1.4,2.1,3.2,2.8,0.3,64.6,51.9,0.2,15,1.7,305624.48,33958.28,2,0.2,24.9,14.4,3.4,3.7,75.9,69.8,71,1.95,1.42,18.9,3.1,9.6,2.9,1.1,24.4,20.8,92.9,89.4,0,45.1,7.7,0.5,20.6,10.2,27.1,1.6
"D&N, LLC",177,35,7,2,0,6,17.1,97.1,0,2.9,1.7,2,1.9,2.2,3.3,2.8,0.3,60.2,53.9,0.7,55,1.6,1954082.82,55830.94,9,0.3,24.9,12.4,2.6,3.4,63.7,74.9,78.8,2.21,1.47,22.5,3,9.3,1.3,1.2,16.9,20,93.8,93.4,1.2,42.9,5.5,0.9,24.2,11.7,28.1,1.9
DAKAVIA,178,5,3,0,2,2,40,100,0,0,2,2,2.2,2.8,4,3.4,0.8,65.2,"","",25,5,332043.05,66408.61,1,0.2,27,12.3,2,0.9,72.3,68.6,65.9,1.48,3.38,16.1,1.3,6,7.1,4.5,22.8,17.6,92.7,86.9,0,56.8,10.2,4.8,8,8.7,25,12.2
